Summary,Issue Type,Epic Name,Story Points,Priority,Labels,Sprint,PRD ID,User Story,Description
DEV-101 Hub FastAPI重构与PostgreSQL,Story,EPIC-1平台基础,8,P0,hub;backend,Sprint 1,,US-070,FastAPI+PostgreSQL事件持久化
DEV-102 JWT与API Key鉴权,Story,EPIC-1平台基础,5,P0,security;hub,Sprint 1,,US-071,门店租户隔离
DEV-103 HTTPS staging部署,Story,EPIC-1平台基础,3,P0,devops,Sprint 1,,,docker-compose TLS
DEV-104 边缘systemd守护,Story,EPIC-1平台基础,3,P0,edge,Sprint 1,F-H01,US-070,崩溃自启health端点
DEV-105 SQLite离线队列,Story,EPIC-1平台基础,5,P0,edge,Sprint 1,,US-072,断网24h缓存
DEV-106 GitLab CI流水线,Story,EPIC-1平台基础,3,P0,devops;ci,Sprint 1,,,ruff+pytest
DEV-107 run_poc冒烟门禁,Story,EPIC-1平台基础,2,P0,test,Sprint 1,,,CI集成run_poc
DEV-201 视频采集与标注规范,Story,EPIC-2感知真实化,5,P0,cv;data,Sprint 2,F-T01,US-073,5000+框标注
DEV-202 桌态YOLO v1训练,Story,EPIC-2感知真实化,13,P0,cv;ml,Sprint 2,F-T01,"US-010, US-073",mAP>=85%
DEV-203 RTSP拉流与ROI标定,Story,EPIC-2感知真实化,8,P0,cv;rtsp,Sprint 2,F-T01,US-010,VideoIngest
DEV-204 RKNN RK3588集成,Story,EPIC-2感知真实化,8,P0,cv;rknn,Sprint 2,"F-T01,F-T02",US-073,>=15FPS
DEV-205 MQTT IoTAgent,Story,EPIC-2感知真实化,5,P0,iot,Sprint 2,"F-K01,F-K02","US-020, US-021",温湿度门磁
DEV-206 智能秤协议对接,Story,EPIC-2感知真实化,8,P0,iot;scale,Sprint 2,"F-P02,F-C01",US-051,收货秤
DEV-207 Bridge接MQTT,Story,EPIC-2感知真实化,5,P0,iot,Sprint 2,F-K03,US-022,全链路真实
DEV-301 VLM来料质检API,Story,EPIC-3智能集成,8,P0,vlm,Sprint 3,"F-C03,F-P05",US-041,A/B/C/D分级
DEV-302 LLM日报API,Story,EPIC-3智能集成,5,P0,llm,Sprint 3,"F-R01,F-R02,F-C04",US-063,替代rule
DEV-303 SOP RAG知识库,Story,EPIC-3智能集成,8,P1,llm;rag,Sprint 3,F-S07,,PDF向量问答
DEV-304 POS Webhook对接,Story,EPIC-3智能集成,10,P0,integration;pos,Sprint 3,F-T03,"US-012, US-013",结账同步桌态
DEV-305 ERP PO拉取,Story,EPIC-3智能集成,8,P0,integration;erp,Sprint 3,"F-C01,F-P01","US-040, US-050",成本真实PO
DEV-306 企微钉钉告警,Story,EPIC-3智能集成,5,P0,alert,Sprint 3,"F-A03,F-A04,F-K04","US-023, US-061, US-062",critical 30s
DEV-307 SOP定时调度,Story,EPIC-3智能集成,3,P0,sop,Sprint 3,"F-S01,F-S03",US-030,午晚市自动
DEV-401 看板登录RBAC,Story,EPIC-4试点就绪,5,P0,frontend;auth,Sprint 4,,US-071,三级权限
DEV-402 看板七模块分页,Story,EPIC-4试点就绪,10,P0,frontend,Sprint 4,F-H~F-R,US-001~060,7路由页面
DEV-403 收货PDA H5,Story,EPIC-4试点就绪,5,P0,frontend;pda,Sprint 4,F-P01~P06,"US-033, US-050~053",5步向导
DEV-404 边缘预配置镜像,Story,EPIC-4试点就绪,8,P0,edge;devops,Sprint 4,,US-072,一键刷机
DEV-405 Prometheus Grafana,Story,EPIC-4试点就绪,5,P1,devops;monitor,Sprint 4,F-H01,,基础大盘
DEV-406 试点Runbook,Story,EPIC-4试点就绪,3,P0,docs,Sprint 4,,,部署培训
DEV-407 2店UAT配置包(玉环/椒江),Story,EPIC-4试点就绪,5,P0,uat,Sprint 4,F-T01,US-073,staging 24h
IMP-101 确定试点店,Task,EPIC-5试点实施,0,P0,impl,Parallel,,,玉环+椒江选址
IMP-102 基线数据采集,Task,EPIC-5试点实施,0,P0,impl,Parallel,,,7天基线
IMP-103 硬件统采,Task,EPIC-5试点实施,0,P0,impl,Parallel,,,BOM下单
IMP-201 现场施工,Task,EPIC-5试点实施,0,P0,impl,Sprint 2,F-T01,US-073,RTSP IoT安装
IMP-301 POS API开通,Task,EPIC-5试点实施,0,P0,impl,Sprint 3,F-T03,US-013,Webhook测试
IMP-302 ERP联调窗口,Task,EPIC-5试点实施,0,P0,impl,Sprint 3,"F-C01,F-P01",US-050,PO接口
IMP-401 2店刷机联调(玉环/椒江),Task,EPIC-5试点实施,0,P0,impl,Sprint 4,,,Go-Live就绪
IMP-402 Go-Live验收,Task,EPIC-5试点实施,0,P0,impl,Sprint 4,MVP P0,US-001~063,10项P0+4周KPI
